Epoch BJD Err Source
1281 2457703.56388 0.00034 "Yee et al. 2019 (compiled)"
1284 2457706.83791 0.00037 "Yee et al. 2019 (compiled)"
1302 2457726.48400 0.00028 "Yee et al. 2019 (compiled)"
1303 2457727.57547 0.00023 "Yee et al. 2019 (compiled)"
1338 2457765.77515 0.00028 "Yee et al. 2019 (compiled)"
1339 2457766.86633 0.00039 "Yee et al. 2019 (compiled)"
1344 2457772.32407 0.00024 "Yee et al. 2019 (compiled)"
1345 2457773.41517 0.00022 "Yee et al. 2019 (compiled)"
1348 2457776.68869 0.00029 "Yee et al. 2019 (compiled)"
1352 2457781.05418 0.00043 "Yee et al. 2019 (compiled)"
1352 2457781.05566 0.00036 "Yee et al. 2019 (compiled)"
1357 2457786.51210 0.00026 "Yee et al. 2019 (compiled)"
1359 2457788.69464 0.00048 "Yee et al. 2019 (compiled)"
1370 2457800.69978 0.00032 "Yee et al. 2019 (compiled)"
1377 2457808.34020 0.00040 "Yee et al. 2019 (compiled)"
1378 2457809.43190 0.00018 "Yee et al. 2019 (compiled)"
1379 2457810.52327 0.00021 "Yee et al. 2019 (compiled)"
1577 2458026.62368 0.00056 "Yee et al. 2019 (compiled)"
1599 2458050.63519 0.00023 "Yee et al. 2019 (compiled)"
1608 2458060.45870 0.00030 "Yee et al. 2019 (compiled)"
1620 2458073.55509 0.00022 "Yee et al. 2019 (compiled)"
1621 2458074.64651 0.00034 "Yee et al. 2019 (compiled)"
1624 2458077.92107 0.00028 "Yee et al. 2019"
1666 2458123.76011 0.00027 "Yee et al. 2019"
1667 2458124.85183 0.00035 "Yee et al. 2019"
1674 2458132.49121 0.00031 "Yee et al. 2019 (compiled)"
1676 2458134.67471 0.00032 "Yee et al. 2019"
1678 2458136.85760 0.00033 "Yee et al. 2019"
1695 2458155.41040 0.00050 "Yee et al. 2019 (compiled)"
1695 2458155.41152 0.00031 "Yee et al. 2019 (compiled)"
1696 2458156.50267 0.00032 "Yee et al. 2019 (compiled)"
1699 2458159.77773 0.00091 "Yee et al. 2019"
1701 2458161.95991 0.00035 "Yee et al. 2019 (compiled)"
1701 2458161.95964 0.00026 "Yee et al. 2019 (compiled)"
1702 2458163.05125 0.00021 "Yee et al. 2019 (compiled)"
1702 2458163.05089 0.00034 "Yee et al. 2019 (compiled)"
1705 2458166.32575 0.00034 "Yee et al. 2019 (compiled)"
1716 2458178.33104 0.00038 "Yee et al. 2019 (compiled)"
1930 2458411.89495 0.00040 "Yee et al. 2019"
1985 2458471.92257 0.00026 "Yee et al. 2019"
2006 2458494.84270 0.00030 "Yee et al. 2019"
2017 2458506.84758 0.00044 "Yee et al. 2019"
-1408.5 2454769.281633796 0.0008 "Yee et al. 2019 (compiled)"
-1404.5 2454773.647833796 0.0006 "Yee et al. 2019 (compiled)"
-1018.5 2455194.9341337965 0.0010 "Yee et al. 2019 (compiled)"
-1011.5 2455202.576033796 0.0022 "Yee et al. 2019 (compiled)"
-722.5 2455517.9948337963 0.0012 "Yee et al. 2019 (compiled)"
-668.5 2455576.9317337964 0.0009 "Yee et al. 2019 (compiled)"
-658.5 2455587.8470337964 0.0017 "Yee et al. 2019 (compiled)"
-362.5 2455910.9087337963 0.0013 "Yee et al. 2019 (compiled)"
-350.5 2455924.0044337963 0.0021 "Yee et al. 2019 (compiled)"
-329.5 2455946.9226337965 0.0018 "Yee et al. 2019 (compiled)"
305.5 2456638.88562379640 0.0011 "Yee et al. 2019 (compiled)"
308.5 2456642.15880379640 0.0014 "Yee et al. 2019 (compiled)"
1341.5 2457769.5954637965 0.0014 "Yee et al. 2019 (compiled)"
1397.5 2457830.7136237960 0.0011 "Yee et al. 2019"
1997.5 2458485.5639737966 0.0014 "Yee et al. 2019 (compiled)"
2010.5 2458499.7554537960 0.00077 "Yee et al. 2019"
2014.5 2458504.1196137965 0.00087 "Yee et al. 2019"
2018.5 2458508.4843237964 0.00091 "Yee et al. 2019"
2026.5 2458517.2161437960 0.00074 "Yee et al. 2019"
